videoid,duration,page_dir,name
271679887,PT00H00M06S,362826_093259,
1895717792,PT00H00M05S,166911_719493,
1738276446,PT00H00M10S,630678_550370,
1281697945,PT00H00M06S,266052_814330,
1464205192,PT00H00M03S,937497_456468,
1431405579,PT00H00M08S,495409_887607,
551014592,PT00H00M05S,771430_860082,
88008347,PT00H00M05S,688080_514396,
1280824832,PT00H00M04S,461923_948261,
366245872,PT00H00M05S,374085_526522,
932507178,PT00H00M02S,976468_884725,
598912769,PT00H00M02S,631710_399837,
269348478,PT00H00M05S,644224_599407,
833681490,PT00H00M05S,162625_595623,
1759173405,PT00H00M05S,317097_954854,
1810428802,PT00H00M02S,805847_033129,
1515669352,PT00H00M07S,067582_166608,
835339851,PT00H00M02S,097196_560335,
1221082927,PT00H00M03S,574152_124017,
1702985337,PT00H00M01S,264440_151817,
1963863284,PT00H00M02S,720717_888039,
262796654,PT00H00M02S,800877_277342,
1360932477,PT00H00M01S,704443_322851,
1755618254,PT00H00M03S,639406_338258,
1629193689,PT00H00M06S,218974_473840,
1939433741,PT00H00M03S,456821_059393,
1382769267,PT00H00M02S,380038_220072,
815526849,PT00H00M02S,598337_319877,
843639103,PT00H00M03S,559645_291268,
1116005475,PT00H00M02S,010031_154919,
1247366102,PT00H00M01S,176883_741428,
1600172045,PT00H00M05S,696792_754019,
419835465,PT00H00M02S,230464_276956,
224779210,PT00H00M01S,533312_049295,
641929223,PT00H00M03S,415699_256508,
242200864,PT00H00M02S,342093_594586,
150523815,PT00H00M05S,280179_713025,
413381198,PT00H00M01S,653731_165954,
335682820,PT00H00M07S,014735_318861,
207474381,PT00H00M01S,275923_769691,
1436791650,PT00H00M03S,945108_245746,
1100200975,PT00H00M02S,256261_672733,
342665849,PT00H00M07S,186880_946420,
953435835,PT00H00M05S,466157_238183,
1848415492,PT00H00M02S,499851_084218,
519384494,PT00H00M02S,837892_934183,
557879013,PT00H00M02S,365724_978421,
689645816,PT00H00M02S,640178_621542,
515218757,PT00H00M01S,559354_165175,
1578924717,PT00H00M01S,985797_265861,
219950193,PT00H00M01S,475584_898101,
1858847368,PT00H00M01S,812751_611556,
